group,tech_type
Design,
Hardware,Advanced mfg & robotics
Commerce and Shopping,
Education,edtech
Sports,
Food and Beverage,agtech & new food
Advertising,adtech
Sales and Marketing,digital media
Software,AI
Media and Entertainment,
Video,digital media
Manufacturing,Advanced mfg & robotics
Information Technology,AI
Privacy and Security,cybersecurity
Music and Audio,digital media
Events,
NA,
Transportation,cleantech
Financial Services,fintech
Internet Services,AI
Messaging and Telecommunications,AI
Content and Publishing,
Health Care,Life sciences
Science and Engineering,Advanced mfg & robotics
Data and Analytics,AI
Real Estate,
Travel and Tourism,
Energy,cleantech
Payments,fintech
Lending and Investments,fintech
Consumer Electronics,Consumer electronics
Community and Lifestyle,
Consumer Goods,
Administrative Services,
Biotechnology,Life sciences
Artificial Intelligence,AI
Professional Services,
Natural Resources,cleantech
Gaming,gaming
Sustainability,cleantech
Mobile,Consumer electronics
Platforms,AI
Apps,AI
Navigation and Mapping,AI
Agriculture and Farming,agtech & new food
Clothing and Apparel,
Government and Military,cybersecurity
